,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[253],0.053,0.017,0.023,0.084,0.0,0.0,26527.0,21083.0,28872.0,14186.0,1.0
theta[254],0.085,0.023,0.046,0.129,0.0,0.0,27382.0,22982.0,28890.0,13976.0,1.0
theta[255],0.139,0.028,0.087,0.193,0.0,0.0,28062.0,24981.0,28866.0,13915.0,1.0
theta[256],0.227,0.033,0.169,0.292,0.0,0.0,28416.0,26739.0,28718.0,13747.0,1.0
theta[257],0.372,0.033,0.311,0.435,0.0,0.0,27809.0,27296.0,27843.0,13789.0,1.0
theta[258],0.612,0.029,0.557,0.667,0.0,0.0,23251.0,23101.0,23212.0,15776.0,1.0
theta[259],0.822,0.03,0.765,0.877,0.0,0.0,22113.0,21965.0,21898.0,14346.0,1.0
theta[260],0.918,0.023,0.875,0.959,0.0,0.0,22529.0,22499.0,22108.0,14109.0,1.0
theta[261],0.961,0.015,0.934,0.987,0.0,0.0,22575.0,22575.0,22261.0,14144.0,1.0
theta[262],0.982,0.009,0.965,0.996,0.0,0.0,22261.0,22261.0,22373.0,14314.0,1.0
theta[263],0.991,0.005,0.981,0.999,0.0,0.0,21696.0,21696.0,22451.0,14218.0,1.0
theta[264],0.026,0.011,0.009,0.046,0.0,0.0,25039.0,19813.0,26788.0,12876.0,1.0
theta[265],0.047,0.016,0.02,0.077,0.0,0.0,25929.0,21783.0,26824.0,12883.0,1.0
theta[266],0.086,0.022,0.046,0.128,0.0,0.0,26614.0,23949.0,26816.0,13344.0,1.0
theta[267],0.159,0.029,0.104,0.212,0.0,0.0,26905.0,25891.0,26806.0,13861.0,1.0
theta[268],0.293,0.033,0.23,0.352,0.0,0.0,26656.0,26656.0,26599.0,14317.0,1.0
theta[269],0.544,0.03,0.488,0.601,0.0,0.0,25156.0,25156.0,25159.0,15123.0,1.0
theta[270],0.782,0.032,0.724,0.843,0.0,0.0,24347.0,24274.0,24269.0,14370.0,1.0
theta[271],0.895,0.025,0.847,0.94,0.0,0.0,24424.0,24424.0,24402.0,14436.0,1.0
theta[272],0.949,0.017,0.917,0.979,0.0,0.0,24252.0,24252.0,24471.0,14930.0,1.0
theta[273],0.975,0.011,0.954,0.992,0.0,0.0,23437.0,23437.0,24515.0,15114.0,1.0
theta[274],0.988,0.007,0.975,0.998,0.0,0.0,22495.0,22495.0,24551.0,15008.0,1.0
theta[275],0.191,0.036,0.125,0.26,0.0,0.0,29548.0,26737.0,30250.0,14225.0,1.0
theta[276],0.252,0.039,0.181,0.325,0.0,0.0,29844.0,27876.0,30236.0,14064.0,1.0
theta[277],0.332,0.04,0.259,0.406,0.0,0.0,29974.0,28810.0,30136.0,14256.0,1.0
theta[278],0.439,0.037,0.368,0.508,0.0,0.0,29662.0,29123.0,29697.0,14659.0,1.0
theta[279],0.58,0.031,0.522,0.639,0.0,0.0,27667.0,27534.0,27644.0,16194.0,1.0
theta[280],0.769,0.026,0.721,0.817,0.0,0.0,21304.0,21243.0,21217.0,15817.0,1.0
theta[281],0.908,0.023,0.865,0.95,0.0,0.0,20767.0,20753.0,20596.0,14129.0,1.0
theta[282],0.963,0.015,0.935,0.989,0.0,0.0,20816.0,20816.0,20826.0,14327.0,1.0
theta[283],0.984,0.009,0.969,0.998,0.0,0.0,20483.0,20483.0,20990.0,14369.0,1.0
theta[284],0.993,0.005,0.985,1.0,0.0,0.0,19908.0,19908.0,21092.0,14657.0,1.0
theta[285],0.997,0.003,0.993,1.0,0.0,0.0,19247.0,19247.0,21166.0,14613.0,1.0
theta[286],0.11,0.028,0.059,0.161,0.0,0.0,26205.0,22598.0,27399.0,14448.0,1.0
theta[287],0.148,0.031,0.093,0.208,0.0,0.0,26511.0,23842.0,27248.0,14442.0,1.0
theta[288],0.2,0.033,0.139,0.262,0.0,0.0,26623.0,24878.0,27017.0,14279.0,1.0
theta[289],0.27,0.033,0.208,0.333,0.0,0.0,26434.0,25482.0,26610.0,14697.0,1.0
theta[290],0.367,0.031,0.307,0.422,0.0,0.0,25757.0,25331.0,25823.0,13618.0,1.0
theta[291],0.498,0.027,0.447,0.548,0.0,0.0,24897.0,24529.0,24932.0,13129.0,1.0
theta[292],0.63,0.03,0.573,0.686,0.0,0.0,24903.0,24796.0,24864.0,13924.0,1.0
theta[293],0.726,0.032,0.666,0.787,0.0,0.0,26124.0,26124.0,26179.0,14914.0,1.0
theta[294],0.797,0.032,0.737,0.859,0.0,0.0,26520.0,26520.0,26813.0,14694.0,1.0
theta[295],0.849,0.03,0.794,0.906,0.0,0.0,26459.0,26459.0,27026.0,14607.0,1.0
theta[296],0.888,0.027,0.836,0.937,0.0,0.0,26135.0,26135.0,27231.0,14570.0,1.0
theta[297],0.279,0.043,0.199,0.359,0.0,0.0,26554.0,24675.0,27053.0,14043.0,1.0
theta[298],0.325,0.042,0.246,0.402,0.0,0.0,26945.0,25572.0,27224.0,14079.0,1.0
theta[299],0.379,0.039,0.304,0.45,0.0,0.0,26831.0,26136.0,26918.0,13848.0,1.0
theta[300],0.442,0.035,0.377,0.508,0.0,0.0,27558.0,26907.0,27547.0,14071.0,1.0
theta[301],0.517,0.029,0.462,0.573,0.0,0.0,27949.0,27748.0,27966.0,13921.0,1.0
theta[302],0.603,0.026,0.555,0.652,0.0,0.0,27266.0,27225.0,27264.0,14708.0,1.0
theta[303],0.687,0.028,0.635,0.739,0.0,0.0,26460.0,26460.0,26494.0,15522.0,1.0
theta[304],0.752,0.03,0.695,0.809,0.0,0.0,26258.0,26258.0,26370.0,15469.0,1.0
theta[305],0.804,0.031,0.745,0.863,0.0,0.0,26070.0,26070.0,26368.0,15044.0,1.0
theta[306],0.844,0.031,0.785,0.902,0.0,0.0,25636.0,25636.0,26191.0,14593.0,1.0
theta[307],0.876,0.03,0.82,0.93,0.0,0.0,25179.0,25179.0,26090.0,14520.0,1.0
theta[308],0.004,0.003,0.0,0.01,0.0,0.0,23851.0,16420.0,28887.0,13118.0,1.0
theta[309],0.011,0.006,0.002,0.022,0.0,0.0,25966.0,18276.0,28994.0,13081.0,1.0
theta[310],0.028,0.012,0.008,0.051,0.0,0.0,27949.0,21213.0,29175.0,12964.0,1.0
theta[311],0.074,0.022,0.035,0.115,0.0,0.0,29379.0,25209.0,29476.0,12919.0,1.0
theta[312],0.195,0.033,0.135,0.259,0.0,0.0,30367.0,29226.0,30210.0,13668.0,1.0
theta[313],0.526,0.034,0.461,0.587,0.0,0.0,30529.0,30196.0,30531.0,13456.0,1.0
theta[314],0.842,0.033,0.781,0.902,0.0,0.0,26860.0,26794.0,26636.0,14735.0,1.0
theta[315],0.946,0.019,0.91,0.979,0.0,0.0,26188.0,26188.0,26188.0,14625.0,1.0
theta[316],0.981,0.01,0.963,0.996,0.0,0.0,24761.0,24761.0,26059.0,14583.0,1.0
theta[317],0.993,0.005,0.985,0.999,0.0,0.0,22937.0,22937.0,26006.0,14614.0,1.0
theta[318],0.998,0.002,0.994,1.0,0.0,0.0,21080.0,21080.0,25970.0,14658.0,1.0
theta[319],0.084,0.023,0.043,0.128,0.0,0.0,21591.0,20727.0,21740.0,15739.0,1.0
theta[320],0.133,0.03,0.08,0.189,0.0,0.0,21760.0,21187.0,21833.0,15925.0,1.0
theta[321],0.21,0.036,0.142,0.276,0.0,0.0,21946.0,21626.0,21972.0,15846.0,1.0
theta[322],0.334,0.039,0.262,0.408,0.0,0.0,22187.0,22058.0,22192.0,15551.0,1.0
theta[323],0.533,0.035,0.467,0.599,0.0,0.0,22360.0,22307.0,22348.0,15518.0,1.0
theta[324],0.852,0.026,0.804,0.9,0.0,0.0,15623.0,15405.0,14242.0,10977.0,1.0
theta[325],0.988,0.009,0.972,0.999,0.0,0.0,16399.0,16399.0,12065.0,7431.0,1.0
theta[326],0.999,0.002,0.996,1.0,0.0,0.0,15368.0,15368.0,11956.0,7254.0,1.0
theta[327],1.0,0.0,0.999,1.0,0.0,0.0,14488.0,14488.0,11914.0,7227.0,1.0
theta[328],1.0,0.0,1.0,1.0,0.0,0.0,14401.0,14400.0,11890.0,7182.0,1.0
theta[329],1.0,0.0,1.0,1.0,0.0,0.0,14805.0,14804.0,11877.0,7217.0,1.0
theta[330],0.309,0.046,0.223,0.394,0.0,0.0,20571.0,18598.0,21430.0,11987.0,1.0
theta[331],0.341,0.042,0.263,0.422,0.0,0.0,21185.0,19646.0,21708.0,12118.0,1.0
theta[332],0.378,0.038,0.307,0.45,0.0,0.0,21872.0,20785.0,22143.0,12127.0,1.0
theta[333],0.419,0.033,0.358,0.483,0.0,0.0,22653.0,21995.0,22646.0,13212.0,1.0
theta[334],0.464,0.029,0.41,0.518,0.0,0.0,23105.0,22826.0,23137.0,13516.0,1.0
theta[335],0.515,0.026,0.467,0.564,0.0,0.0,23303.0,23148.0,23315.0,13211.0,1.0
theta[336],0.565,0.028,0.511,0.617,0.0,0.0,22793.0,22788.0,22795.0,14011.0,1.0
theta[337],0.61,0.033,0.547,0.67,0.0,0.0,21781.0,21781.0,21866.0,15040.0,1.0
theta[338],0.65,0.038,0.581,0.722,0.0,0.0,20983.0,20983.0,21264.0,13404.0,1.0
theta[339],0.686,0.041,0.608,0.763,0.0,0.0,20329.0,20329.0,20896.0,12933.0,1.0
theta[340],0.718,0.044,0.633,0.799,0.0,0.0,19757.0,19757.0,20658.0,12554.0,1.0
theta[341],0.406,0.049,0.314,0.498,0.0,0.0,20745.0,18513.0,21211.0,10773.0,1.0
theta[342],0.432,0.044,0.353,0.517,0.0,0.0,21678.0,19900.0,21891.0,11872.0,1.0
theta[343],0.46,0.038,0.389,0.532,0.0,0.0,22926.0,21601.0,22951.0,12151.0,1.0
theta[344],0.489,0.033,0.429,0.551,0.0,0.0,24428.0,23743.0,24410.0,13804.0,1.0
theta[345],0.521,0.028,0.469,0.573,0.0,0.0,26081.0,25768.0,26089.0,14234.0,1.0
theta[346],0.555,0.026,0.506,0.601,0.0,0.0,27235.0,27021.0,27213.0,13660.0,1.0
theta[347],0.589,0.028,0.537,0.64,0.0,0.0,26327.0,26142.0,26279.0,13942.0,1.0
theta[348],0.619,0.032,0.562,0.681,0.0,0.0,24395.0,24395.0,24393.0,15265.0,1.0
theta[349],0.648,0.037,0.581,0.718,0.0,0.0,22759.0,22759.0,22964.0,13394.0,1.0
theta[350],0.674,0.041,0.596,0.751,0.0,0.0,21466.0,21466.0,21942.0,12378.0,1.0
theta[351],0.698,0.046,0.613,0.783,0.0,0.0,20359.0,20359.0,21201.0,11107.0,1.0
theta[352],0.239,0.042,0.161,0.32,0.0,0.0,25603.0,23152.0,26483.0,13932.0,1.0
theta[353],0.274,0.041,0.197,0.35,0.0,0.0,26256.0,24435.0,26767.0,14180.0,1.0
theta[354],0.314,0.038,0.244,0.387,0.0,0.0,26965.0,25780.0,27200.0,14694.0,1.0
theta[355],0.361,0.034,0.299,0.427,0.0,0.0,27788.0,27176.0,27868.0,15039.0,1.0
theta[356],0.415,0.029,0.357,0.468,0.0,0.0,28778.0,28542.0,28794.0,15373.0,1.0
theta[357],0.477,0.026,0.428,0.526,0.0,0.0,29432.0,29227.0,29420.0,14804.0,1.0
theta[358],0.54,0.029,0.488,0.593,0.0,0.0,28515.0,28388.0,28520.0,14872.0,1.0
theta[359],0.595,0.033,0.531,0.655,0.0,0.0,27466.0,27466.0,27505.0,14448.0,1.0
theta[360],0.643,0.038,0.573,0.715,0.0,0.0,26657.0,26657.0,26860.0,14450.0,1.0
theta[361],0.685,0.041,0.608,0.762,0.0,0.0,25991.0,25991.0,26477.0,14147.0,1.0
theta[362],0.722,0.043,0.637,0.8,0.0,0.0,25394.0,25394.0,26233.0,13818.0,1.0
theta[363],0.276,0.042,0.199,0.358,0.0,0.0,28371.0,25784.0,29236.0,13332.0,1.0
theta[364],0.321,0.041,0.246,0.401,0.0,0.0,29060.0,27099.0,29568.0,13277.0,1.0
theta[365],0.375,0.038,0.303,0.448,0.0,0.0,29775.0,28432.0,29994.0,13555.0,1.0
theta[366],0.438,0.034,0.376,0.506,0.0,0.0,30433.0,29661.0,30462.0,13832.0,1.0
theta[367],0.512,0.029,0.457,0.567,0.0,0.0,30485.0,30174.0,30460.0,14632.0,1.0
theta[368],0.599,0.026,0.549,0.646,0.0,0.0,28181.0,28149.0,28182.0,14651.0,1.0
theta[369],0.682,0.028,0.631,0.736,0.0,0.0,25682.0,25682.0,25753.0,14377.0,1.0
theta[370],0.748,0.031,0.69,0.806,0.0,0.0,24766.0,24766.0,25025.0,13960.0,1.0
theta[371],0.8,0.032,0.739,0.859,0.0,0.0,24216.0,24216.0,24748.0,14099.0,1.0
theta[372],0.841,0.032,0.78,0.899,0.0,0.0,23715.0,23715.0,24638.0,13854.0,1.0
theta[373],0.873,0.031,0.815,0.928,0.0,0.0,23187.0,23187.0,24598.0,13778.0,1.0
theta[374],0.31,0.046,0.223,0.396,0.0,0.0,16544.0,14629.0,17584.0,10550.0,1.0
theta[375],0.34,0.042,0.259,0.418,0.0,0.0,17561.0,16051.0,18203.0,11378.0,1.0
theta[376],0.373,0.038,0.303,0.444,0.0,0.0,18997.0,17959.0,19314.0,12640.0,1.0
theta[377],0.409,0.033,0.349,0.472,0.0,0.0,21398.0,20857.0,21426.0,14238.0,1.0
theta[378],0.449,0.028,0.397,0.502,0.0,0.0,24570.0,24570.0,24579.0,14995.0,1.0
theta[379],0.493,0.026,0.442,0.539,0.0,0.0,26563.0,26505.0,26571.0,14518.0,1.0
theta[380],0.537,0.029,0.484,0.591,0.0,0.0,24548.0,24446.0,24555.0,14053.0,1.0
theta[381],0.577,0.033,0.516,0.641,0.0,0.0,21856.0,21856.0,21860.0,13522.0,1.0
theta[382],0.613,0.038,0.544,0.687,0.0,0.0,19811.0,19811.0,19940.0,12336.0,1.0
theta[383],0.646,0.043,0.567,0.728,0.0,0.0,18473.0,18473.0,18882.0,11176.0,1.0
theta[384],0.676,0.047,0.589,0.762,0.0,0.0,17343.0,17343.0,18193.0,10650.0,1.0
theta[385],0.385,0.048,0.298,0.478,0.0,0.0,22357.0,20859.0,22812.0,13070.0,1.0
theta[386],0.415,0.043,0.335,0.498,0.0,0.0,23204.0,22140.0,23453.0,14086.0,1.0
